time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
10/24/2019,6.81,28.86,21.99,59.5,9.84,21.03,63.46,12.71,5.77,7.59,6.67,61.18,40.21,46.05,10.33,95.29,2.18,6.99,10.95,11.27,6.36,37.19,63.44,4.21,52.09,144.9,80.24,7.11
10/25/2019,6.81,28.58,21.94,60.17,10.07,20.95,63.52,12.71,5.71,7.52,6.75,60.37,40.34,46.29,10.41,96.42,2.14,6.99,10.9,11.27,6.33,37.66,63.37,4.19,52.09,145.9,81.39,7.18
10/28/2019,6.84,28.11,22.16,59.75,10.07,20.99,63.77,12.54,5.71,7.66,6.69,60.29,40.25,46.45,10.33,96.99,2.21,6.98,10.85,11.24,6.29,37.41,63.37,4.19,52.31,145,80.97,7.2
10/29/2019,6.84,28.58,22.16,59.66,10.09,20.92,63.34,12.63,5.69,7.66,6.64,59.88,40.06,46.69,10.17,97.93,2.18,6.94,10.65,11.2,6.31,36.98,64.55,4.16,52.36,143.5,81.15,7.15
10/30/2019,7.01,28.2,21.94,59.58,10.14,20.88,63.96,12.63,5.71,7.59,6.7,59.88,39.39,47.5,10.21,98.31,2.18,7.01,10.7,11.24,6.36,37.58,65.43,4.16,53.16,144.8,79.88,7.11
10/31/2019,6.96,28.2,22.16,60.67,10.07,20.92,64.14,12.63,5.82,7.52,6.69,60.04,39.3,47.5,10.29,98.12,2.18,7.01,10.8,11.2,6.34,37.53,65.58,4.16,52.89,145,78.67,7.02
11/1/2019,6.98,28.39,22.37,62.27,10.21,21.14,64.76,12.19,5.79,7.55,6.67,61.26,39.49,47.58,10.68,97.93,2.18,7.06,10.9,11.22,6.34,38.01,70.15,4.16,54.45,145.5,80.12,7.02
11/4/2019,7.1,28.11,23.03,62.27,10.27,21.64,65.38,12.19,5.83,7.5,6.77,61.74,39.77,47.74,10.84,97.93,2.21,7.14,10.9,11.5,6.33,39.38,70.74,4.19,54.09,145.3,79.45,7.18
11/5/2019,7.1,27.74,23.19,63.28,10.25,21.6,66.31,12.19,5.83,7.55,6.76,61.5,39.61,47.82,10.8,97.93,2.21,7.16,10.95,11.69,6.37,38.86,72.14,4.16,54,145.7,78.18,7.26
11/6/2019,7.1,27.55,23.03,63.2,10.21,21.5,65.57,12.36,5.75,7.59,6.85,61.5,39.3,47.41,10.72,97.93,2.21,7.13,11,11.69,6.36,38.95,73.24,4.16,54.18,143.5,78.73,7.23
11/7/2019,7.1,27.45,23.48,62.36,10.18,21.5,65.75,12.19,5.76,7.83,6.83,61.9,39.52,47.17,10.72,97.93,2.24,7.24,10.9,11.72,6.36,39.08,73.32,4.23,53.69,143.2,78.12,7.18
